

BUFFER,FROM_INSTANCE.PORT,TO_INSTANCE.PORT,SIZE,MEMORY_GROUP,BANK,OFFSET,DMA_NEEDED
bufi30,-,-,16384,"(538976288, 746397728)",0,0,-
buf7,gr.buf_in.po0,gr.krnl_h[0].pi0,8192,"(15, 1)",1,3168,-
buf4,gr.krnl_v[0].coeff,-,4096,"(16, 0)",1,0,-
buf0,gr.buf_in.po0,gr.krnl_h[0].pi0,8192,"(15, 1)",0,0,-
buf1,gr.krnl_h[0].po0,gr.krnl_v[0].pi0,8192,"(15, 0)",1,0,-
bufi21,-,-,16384,"(15, 0)",0,16384,-
bufi20,-,-,16384,"(15, 0)",0,0,-
buf3,gr.krnl_h[0].coeff,-,4096,"(15, 0)",0,0,-
buf2,gr.krnl_v[0].po0,gr.buf_out.pi0,8192,"(16, 0)",3,1280,-
sysmem6,-,-,1258,"(16, 0)",2,15104,-
buf9,gr.krnl_v[0].po0,gr.buf_out.pi0,8192,"(16, 0)",0,8192,-
sysmem5,-,-,1258,"(15, 1)",2,0,-
bufi31,-,-,16384,"(15, 1)",0,16384,-
buf8,gr.krnl_h[0].po0,gr.krnl_v[0].pi0,8192,"(15, 0)",2,0,-


GMIO,IN/OUT,TILE_COLUMN,CHANNEL
src[0],out,15,0
dst[0],out,15,0


CLUSTER,KERNELS,TILE
PT0,"gr.krnl_h[0],","(15, 0)"
PT1,"gr.krnl_v[0],","(16, 0)"
